Date,Product Name,Product ID,Sale Cost,Order Cost,Daily Product Cost,Based on sale,Based on Stock,Is 0 or empty,Need update,Cost should be
2025-02-18,Espinaca de verano,nj0huUQ3y50GEonQ5JMu,6000,0,0,0,1,TRUE,Needs Update,6000
2025-02-18,Pera,qzSrF2hjTJlD37CU0kPt,11000,0,0,0,1,TRUE,Needs Update,11000
2025-02-18,Pimiento verde,Y8ltURbXouK1Y0tOqA88,10000,0,0,0,1,TRUE,Needs Update,10000
2025-02-18,Lechuguin,d6B09r0BRkhjWLdCN5PB,16000,0,0,0,1,TRUE,Needs Update,16000
2025-02-18,Zanahoria  dado,IqikBrGHEV9K0wUwlsD3,5500,0,5000,0,0,FALSE,Needs Update,5500
2025-02-18,pepino,JOLeSgvaOW402j0Yxcx4,16000,0,0,0,1,TRUE,Needs Update,16000
2025-02-18,Lechuga Repollada,xepOScOOUeS8L2pz5L45,13000,0,16000,0,0,FALSE,Needs Update,13000
2025-02-18,banana ecuador,KlX03q2aSvZH6BHA15GA,27000,0,0,0,1,TRUE,Needs Update,27000
2025-02-18,Tomate perita,vYJnLJarp9IYYegtXlDK,5000,0,0,0,1,TRUE,Needs Update,5000
2025-02-18,Pimiento rojo,zdlMGjpXEdStyVrgbUAG,12000,0,0,0,1,TRUE,Needs Update,12000
2025-02-18,Ajos,taghhkjKqtL0YVJh2w4Y,20000,0,0,0,1,TRUE,Needs Update,20000
2025-02-18,Repollo morado,SGUlYOFv5j4eYKm0Ymlt,1500,0,0,0,1,TRUE,Needs Update,1500
2025-02-18,Naranja jugo,VRkZ2WL7ctIbcy1ObTKV,15000,0,9000,0,0,FALSE,Needs Update,15000
2025-02-18,limon caja,QfcwEvDuAMA6eM6snYVG,20000,0,0,0,1,TRUE,Needs Update,20000
2025-02-18,Perejil,tOhZvTqnM4FoYzCvmsqf,1000,0,2500,0,0,FALSE,Needs Update,1000
2025-02-18,Zapallitos,Q1aVOilcMo6U1uzCtd4l,9000,0,0,0,1,TRUE,Needs Update,9000
2025-02-18,durazno,7WY59fJIkl0XVeCjpD1N,17000,0,0,0,1,TRUE,Needs Update,17000
2025-02-18,Remolacha,bk232NFryaQhaM4Hk0OR,2000,0,0,0,1,TRUE,Needs Update,2000
2025-02-18,papa negra,Pk49CcnC6KEil0ofOYbf,5000,0,7800,0,0,FALSE,Needs Update,5000
2025-02-18,Banana boliviana,I4boBqBHsGIkRyzNNy9A,14000,0,16000,0,0,FALSE,Needs Update,14000
2025-03-04,Tomate perita  1era,vYJnLJarp9IYYegtXlDK,12000,12000,19000,0,0,FALSE,Needs Update,12000
2025-03-04,papa negra,Pk49CcnC6KEil0ofOYbf,6200,6200,7800,0,0,FALSE,Needs Update,6200
2025-03-04,Perejil,tOhZvTqnM4FoYzCvmsqf,1000,1000,2500,0,0,FALSE,Needs Update,1000
2025-03-05,papa negra,Pk49CcnC6KEil0ofOYbf,,6200,7800,0,0,FALSE,Needs Update,6200
2025-03-05,Tomate perita  1era,vYJnLJarp9IYYegtXlDK,,12000,19000,0,0,FALSE,Needs Update,12000
2025-03-05,Perejil,tOhZvTqnM4FoYzCvmsqf,,1000,2500,0,0,FALSE,Needs Update,1000
2025-03-06,Banana boliviana,I4boBqBHsGIkRyzNNy9A,,16000,14000,0,0,FALSE,Needs Update,16000
2025-03-06,Tomate perita  1era,vYJnLJarp9IYYegtXlDK,,12000,19000,0,0,FALSE,Needs Update,12000
2025-03-06,papa negra,Pk49CcnC6KEil0ofOYbf,,6200,7800,0,0,FALSE,Needs Update,6200
2025-03-07,Tomate perita  1era,vYJnLJarp9IYYegtXlDK,,9000,19000,0,0,FALSE,Needs Update,9000
2025-03-07,durazno,7WY59fJIkl0XVeCjpD1N,,20000,30000,0,0,FALSE,Needs Update,20000
2025-03-07,Banana boliviana,I4boBqBHsGIkRyzNNy9A,,16000,14000,0,0,FALSE,Needs Update,16000
2025-03-07,Pimiento verde,Y8ltURbXouK1Y0tOqA88,,10000,14000,0,0,FALSE,Needs Update,10000
2025-03-17,Calabacín,2dlxgpBFzu5Bv2NCjKsR,,5500,,1,0,TRUE,Needs Update,5500
2025-03-17,Acelga,5VspHUBtBzfo9Gm3lyjS,,5000,,1,0,TRUE,Needs Update,5000
2025-03-17,durazno amarillo,7WY59fJIkl0XVeCjpD1N,,33000,,1,0,TRUE,Needs Update,33000
2025-03-17,Banana boliviana,I4boBqBHsGIkRyzNNy9A,,13000,,1,0,TRUE,Needs Update,13000
2025-03-17,Zanahoria  dado,IqikBrGHEV9K0wUwlsD3,,5000,,1,0,TRUE,Needs Update,5000
2025-03-17,Batata bolsa,LcfD9aqEP2EfA6VqvcWx,,5000,,1,0,TRUE,Needs Update,5000
2025-03-17,manzana caja,MX5Qzqv9Gv1kgid29jkH,,18000,,1,0,TRUE,Needs Update,18000
2025-03-17,papa negra,Pk49CcnC6KEil0ofOYbf,,9000,,1,0,TRUE,Needs Update,9000
2025-03-17,Zapallitos,Q1aVOilcMo6U1uzCtd4l,,6000,,1,0,TRUE,Needs Update,6000
2025-03-17,limon caja,QfcwEvDuAMA6eM6snYVG,,15000,,1,0,TRUE,Needs Update,15000
2025-03-17,Naranja jugo,VRkZ2WL7ctIbcy1ObTKV,,14000,,1,0,TRUE,Needs Update,14000
2025-03-17,Zapallo negro,VhWn8mUCDnw6JhBwdjmz,,5000,,1,0,TRUE,Needs Update,5000
2025-03-17,Pimiento verde,Y8ltURbXouK1Y0tOqA88,,13000,,1,0,TRUE,Needs Update,13000
2025-03-17,Cebolla,Z2V5aKX6u7afQo3dDKie,,6500,,1,0,TRUE,Needs Update,6500
2025-03-17,Remolacha,bk232NFryaQhaM4Hk0OR,,2500,,1,0,TRUE,Needs Update,2500
2025-03-17,Apio,dT52ww0QEnSKruKW1qgM,,2000,,1,0,TRUE,Needs Update,2000
2025-03-17,Mandarina,hgtRjlRJkNg1MZwpuJfY,,12000,,1,0,TRUE,Needs Update,12000
2025-03-17,Verdeo,oOmmhb96HYBwMuHZBoZe,,3000,,1,0,TRUE,Needs Update,3000
2025-03-17,Perejil,tOhZvTqnM4FoYzCvmsqf,,2000,,1,0,TRUE,Needs Update,2000
2025-03-17,Ajos,taghhkjKqtL0YVJh2w4Y,,25000,,1,0,TRUE,Needs Update,25000
2025-03-17,Tomate perita  1era,vYJnLJarp9IYYegtXlDK,,19000,,1,0,TRUE,Needs Update,19000
2025-03-17,Lechuga Repollada,xepOScOOUeS8L2pz5L45,,30000,,1,0,TRUE,Needs Update,30000
2025-03-17,Pimiento rojo,zdlMGjpXEdStyVrgbUAG,,18000,,1,0,TRUE,Needs Update,18000